1000  36.552
0.201  20.7538  25.0692
24.6557  11.6647  16.1738
21.6792  18.0086  20.7923
33.9227  32.6402  29.7032
28.2495  12.811  5.34512
16.126  36.2972  29.8008
18.4921  25.9704  7.02491
26.6115  13.7828  13.5656
30.5817  27.0784  5.49441
27.028  14.2268  21.4701
30.0509  24.7649  14.9877
20.9275  12.1078  28.3369
16.8726  18.9208  29.1035
15.6746  22.1936  28.6696
24.6123  27.3098  20.2059
29.9871  29.0705  2.13378
27.6992  32.2044  31.172
22.2395  24.8839  8.29323
12.2518  27.1575  34.542
20.8142  32.606  15.1725
15.7146  32.5013  10.9441
2.21194  18.8583  27.9425
18.238  35.1779  32.8976
22.4118  29.8166  30.2544
17.0964  24.7181  22.2612
20.5874  33.9065  10.8665
20.4864  26.8449  3.89403
18.7703  16.2184  26.9312
20.0773  19.592  27.5386
9.07858  28.5244  0.745524
23.8023  22.699  22.3309
17.5403  35.5325  11.7194
28.3311  30.1513  25.5552
31.5614  35.7473  22.8001
28.7715  29.347  34.7965
34.1406  4.28653  34.3941
22.4879  0.636309  20.8577
28.9108  35.0747  14.7575
35.1083  25.7239  9.90615
31.8265  5.04647  9.03146
34.298  5.4393  19.2835
30.3708  30.4242  21.434
33.3295  0.487352  19.5477
24.1333  2.47729  23.1027
27.8253  19.5427  34.6285
24.7066  35.6118  36.4951
28.5344  24.5961  2.23137
1.88459  8.63947  6.75452
23.975  28.0303  13.4002
15.5144  30.4213  25.291
26.456  36.0551  29.1319
6.21755  15.0346  32.3579
9.08604  35.2503  31.5387
19.9619  15.334  30.3284
30.6628  36.5124  0.807286
30.4201  9.56429  32.3773
19.2011  5.88629  4.44044
24.2408  30.7739  36.0795
10.5179  0.914215  11.1984
26.6538  3.77639  30.5057
34.7335  7.01925  22.1815
3.75148  3.90825  24.6958
20.9186  35.1125  24.88
24.3428  13.9288  28.2619
20.5001  10.9451  31.3097
30.6249  16.2205  3.48291
26.0007  19.154  7.85178
28.3833  3.43402  5.88916
30.1219  36.0933  18.352
31.5102  9.10518  9.90435
31.758  4.08224  17.7675
4.70075  15.7972  28.3515
31.1682  26.0421  29.467
29.5039  8.86433  19.2746
24.4396  14.1074  2.032
0.0731303  10.3349  34.2547
21.435  24.1272  1.07242
29.2864  23.1442  27.5896
26.1161  12.5982  9.84403
30.1045  13.8207  30.6338
32.6387  22.8695  26.7806
33.4414  11.8011  13.7929
33.7148  15.4372  2.22137
30.0144  12.7623  25.5694
12.0327  17.7216  6.09387
36.4036  30.7245  26.3845
24.9594  20.062  4.32698
22.2768  10.4936  5.45238
23.4646  11.5753  12.5437
20.6773  13.6413  11.5943
18.8362  25.9292  11.3695
36.4659  14.5847  35.1864
35.9156  21.8927  28.2881
3.82476  25.3172  31.5678
29.8576  26.1866  35.7881
3.12333  30.8475  27.1784
12.9489  34.2154  32.1789
25.6705  25.7468  6.31455
21.9979  24.9458  14.0113
28.7209  22.1535  23.8381
23.488  23.2297  11.4535
35.1647  24.8536  25.993
3.11814  26.6448  26.4366
33.9141  0.0756004  29.2337
29.82  12.8188  34.1899
11.97  29.648  27.5175
36.2146  18.9527  2.70449
25.0422  26.4291  2.84936
21.529  19.2219  9.40566
28.1958  33.3317  22.4345
3.56544  29.1562  23.8584
21.7245  21.9251  25.5026
34.5389  30.8433  20.0083
18.3654  21.3304  23.3888
32.517  2.75385  25.9336
23.0892  23.4933  3.94506
36.1204  29.7257  8.24991
35.6176  34.3079  32.4868
7.79916  18.7452  12.077
26.6139  17.0166  3.92107
4.2685  25.83  12.8196
15.1305  21.4665  21.7223
28.4821  17.6738  20.2867
7.84634  3.73844  26.4397
27.8722  32.9108  4.64729
19.191  20.5646  31.3032
32.6995  29.2203  36.202
24.1714  16.5716  8.83122
32.2847  24.296  11.7295
33.2078  30.7932  3.00928
6.39327  5.83569  20.2759
10.9319  2.30915  26.4271
32.4709  34.0139  16.4403
27.3081  29.6634  29.014
19.4319  27.6135  31.8299
27.8225  15.7692  7.93719
31.1828  27.9176  12.7491
27.0365  36.464  21.4793
9.31627  35.7582  5.93368
31.2266  30.9702  11.134
24.608  32.3177  9.6515
28.4738  25.5934  12.2912
29.0584  3.131  27.9645
26.4301  5.70705  22.2009
0.486506  30.98  34.4951
28.5508  16.3571  28.4262
35.9114  28.6717  4.70929
32.2975  35.1008  12.9586
31.0095  10.4061  28.2515
11.0976  16.1424  11.505
35.2073  3.3391  16.1175
6.67894  8.55181  17.4048
2.64098  5.12735  21.5104
2.79049  10.1551  28.4447
33.5919  12.0978  34.0489
